poet,gender,
Reginald O'Hare Gibson,M,
Bruce Pemberton,M,
Troy Jollimore,M,
Paul Zimmer,M,
Joshua Clover,M,
Mary Morris,F,
Julia Kasdorf,F,
Emily Wilson,F,
Jessica Jopp,F,
Carmen Giménez Smith,F,
Louise Erdrich,F,
Robert Hass,M,
Philip Good,M,
Geoffrey Hill,M,
Roy Fisher,M,
Claire Potter,F,
James Brown,M,
Bruce F. Murphy,M,
Bridget Talone,F,
James Shirley,M,
Philip Appleman,M,
Kim Addonizio,F,
Yannis Ritsos,M,
Aaron Poochigian,M,
Nick Carbó,M,
Constance Urdang,F,
Alison Hawthorne Deming,F,
Lisa Robertson,F,
Andrea Cohen,F,
James Thomson,M,
Ann Taylor,F,
Mary Carolyn Davies,F,
Léonie Adams,F,
Æmilia Lanyer,F,
Martin Walls,M,
Grace Cavalieri,F,
Mary Jo Bang,F,
Gerald Maa,M,
R. T. Smith,M,
Emily Berry,F,
Louis Jenkins,M,
Keith Althaus,M,
Chase Twichell,F,
Michael Ryan,M,
Sophie Collins,F,
George Herbert,M,
William Hathaway,M,
Robert Browning,M,
Sandra M. Gilbert,F,
Mike White,M,
Abraham Sutzkever,M,
Elizabeth Kirkham Mathews,F,
Timothy Donnelly,M,
Sidney Lanier,M,
Laren McClung,F,
Amber Atiya,F,
Sherwin Bitsui,M,
Samuel Johnson,M,
W.D. Ehrhart,M,
Carl Sandburg,M,
Mark Vinz,M,
Audre Lorde,F,
Craig Santos Perez,M,
John Donne,M,
Alfred Noyes,M,
Michael Steffen,M,
Jean Nordhaus,F,
Caki Wilkinson,F,
Margaret Widdemer,F,
Michael Dickman,M,
Rhoda Janzen,F,
Chen Jun,M,
Jim Harrison,M,
David Baker,M,
Sarah Barber,F,
Fabián Severo,M,
Tu Fu,M,
Aphra Behn,M,
Gregory Corso,M,
V. Penelope Pelizzon,F,
Christopher Logue,M,
Rocket Caleshu,M,
Sylvia Ross,F,
Peter Heller,M,
Stephen Derwent Partington,M,
Kathleen Raine,F,
Veronica Patterson,F,
George Arnold,M,
Ronald Wallace,M,
Andrew Shields,M,
J. D. McClatchy,M,
Linda M. Hasselstrom,F,
Jennifer Gray,F,
Rodney Torreson,M,
Carmen Bernier-Grand,F,
William Cartwright,M,
Ella Wheeler Wilcox,F,
Petrarch,M,
Srikanth Reddy,M,
Carol Light,F,
Don Thompson,M,
Ahren Warner,M,
Janet McCann,F,
Dale Ritterbusch,M,
Edmund Berrigan,M,
James Brookes,M,
Denise Bergman,F,
Leigh Hunt,M,
Frank Asch,M,
Jane Yolen,F,
Calvin Bedient,M,
Sir Philip Sidney,M,
Kenneth Fearing,M,
Anna Dodsworth,F,
Alec Finlay,M,
César Vallejo,M,
Seán Ó Coileáin,M,
Jake Adam York,M,
Francine Sterle,F,
Elizabeth Moody,F,
Priscilla Lee,F,
Shira Dentz,F,
Craig Arnold,M,
Edmond Jabès,M,
D. A. Ellsworth,,
Amit Majmudar,M,
Ching-In Chen,NB,
Mark Jarman,M,
Susan Mitchell,F,
James Monroe Whitfield,M,
Derek N. Otsuji,M,
Nancy Botkin,F,
Stephen Vincent Benét,M,
Steve Sanfield,M,
John Bunyan,M,
Paul Claudel,M,
P. Ivan Young,M,
Natasha Trethewey,F,
CAConrad,NB,
Samuel Daniel,M,
T. E. Hulme,M,
Hafez,M,
Robert Bly,M,
Teresia Teaiwa,F,
Hervey Allen,M,
Katy Lederer,F,
Eric Amling,M,
Mike Chasar,M,
June Jordan,M,
Sebastian Matthews,M,
Tina Boyer Brown,F,
Carl Little,M,
Mary Atkinson,F,
April Ossmann,F,
Natalie Diaz,F,
Desirée Alvarez,F,
Joseph Ceravolo,M,
Alan Gillis,M,
Joshua Weiner,M,
Horace,M,
Richard Tillinghast,M,
Ernesto Cardenal,M,
Jules Supervielle,M,
Eva Saulitis,F,
Joseph Stanton,M,
Barbara Ras,F,
Mari L'Esperance,F,
Michael Drayton,M,
Claudine Toutoungi,F,
Rose Terry Cooke,F,
Mark Nickels,M,
Mary O'Donnell,F,
Ivor Gurney,M,
Diana García,F,
Paul Celan,M,
Susan Donnelly,F,
Sarah Manguso,F,
Felix Bernstein,M,
Andrew McMillan,M,
Phoebe Cary,F,
Rick Barot,M,
Tomaž Šalamun,M,
Monica Youn,F,
Harry Graham,M,
Michael Anania,M,
Ann Yearsley,F,
Allen Grossman,M,
Mark Laliberte,M,
Salwa Al-Neimi,F,
William Drummond of Hawthornden,M,
John Lee Clark,M,
Lee Herrick,M,
Sir Ronald Ross,M,
Henry Dumas,M,
Sahar Muradi,F,
Adrian Koesters,M,
Dan Stryk,M,
Doug Anderson,M,
Jillena Rose,F,
Brendan Galvin,M,
Sophie Jewett,F,
Anahera Gildea,F,
Hilda Morley,F,
Linda Rodriguez,F,
Mark Defoe,M,
Alan Seeger,M,
Mark Young,M,
Ariana Reines,F,
Zehra Çirac,F,
David Bottoms,M,
Kirsten Ihns,F,
Pauli Murray,F,
Randall Horton,M,
Dani Couture,F,
Queen Elizabeth I,F,
Jason Shinder,M,
Lisel Mueller,F,
William Kloefkorn,M,
Dominique Christina,F,
Susan Barba,F,
Gary Dop,M,
Catherine Maria Fanshawe,F,
Janet McAdams,F,
Liam Rector,M,
Siobhán Campbell,F,
Anne Caston,F,
Nikky Finney,F,
Dannie Abse,F,
Emily Skillings,F,
Sir Walter Scott,M,
Elizabeth Spires,F,
Katie Ford,F,
Jackie Fox,,
Gabriel Gomez,M,
Ruth Moose,F,
David Wheatley,M,
James Scruton,M,
Bryan D. Dietrich,M,
Walter de La Mare,M,
Marie-Claire Bancquart,F,
Thomas Heywood,M,
Kevin C. Powers,M,
Diane Wakoski,F,
Tanaya Winder,F,
Ava Schicke,F,
Eliza Griswold,F,
Thomas Hardy,M,
Benjamin S. Grossberg,M,
Josephine Miles,F,
Dorothea Du Bois,F,
Jennifer Elise Foerster,F,
Rachel Wetzsteon,F,
Francisco X. Alarcón,M,
Paul Blackburn,M,
Tsering Wangmo Dhompa,F,
Marnie Walsh,F,
Bryan Thao Worra,M,
Richard Crashaw,M,
J. Patrick Lewis,M,
Eloisa Amezcua,F,
Ben Lerner,M,
George Starbuck,M,
Jeanne Wagner,F,
John M. Ridland,M,
Nicole Brossard,F,
J. V. Cunningham,,
Louis Simpson,M,
Ford Madox Ford,M,
Rachel Galvin,F,
Rachel Zucker,F,
Danez Smith,M,
Jane Mead,F,
Henry Wadsworth Longfellow,M,
Lisa Russ Spaar,F,
Timothy Tocher,M,
Joyce Armor,F,
Yoko Ono,F,
George Kalogeris,M,
Rabi'a,F,
Robert Charles O’Hara Benjamin,M,
Calef Brown,M,
Emily Rosko,F,
Samuel Ace,M,
Marion McCready,F,
Regina DeSalva,F,
Barbara Perez,F,
Franco Buffoni,M,
Jane Zwart,F,
Tarfia Faizullah,F,
Derek Mahon,M,
Sarah C. Woolsey,F,
Nathaniel Hawthorne,M,
D. Gilson,M,
C. K. Williams,M,
Nathaniel Perry,M,
Leo Boix,M,
Naomi Replansky,F,
Pierluigi Cappello,M,
Elizabeth Hands,F,
D. H. Tracy,,
Knar Gavin,,
William Fuller,M,
